Parent First Name,Parent Last Name,Parent Date of Birth,Parent National Insurance Number,Parent asylum seeker reference number
,NWDTORMNTW,32874,AB861408D,
,HBBEGORYFE,32874,AB272253D,
,LDUPUQEHRB,32874,AB558702D,
,ZWLKQSNLSR,32874,AB150187D,
,DZFHCXOIFT,32874,AB530209D,
,DVGKEOUIUY,32874,AB364584D,
,OZWBCGJTZK,32874,AB620483D,
,ZCASODJIJN,32874,AB871236D,
,MSFRIXZTAT,32874,AB278640D,
,NUJJXZEHDW,32874,AB833584D,
,QHMIJCKMXN,32874,AB723118D,
,NFRPIUZWHA,32874,AB358221D,
,WPGABGSAAT,32874,AB515300D,
,WSRSITLTCT,32874,AB855593D,
,DRJZOKNIFC,32874,AB936421D,
,AWPTEQPWRZ,32874,AB375156D,
,DNLCRJQLGR,32874,AB284699D,
,GUERXYEHAM,32874,AB330173D,
,MXZHPMUGRO,32874,AB485297D,
,ITOUOJRXXI,32874,AB459897D,
,EHPKYSMCOD,32874,AB173627D,
,INUUFHEMDC,32874,AB818311D,
,CWHFZYOFTR,32874,AB244709D,
,AAFBTIWGMS,32874,AB842862D,
,MKJGWGLREM,32874,AB429097D,
,GSHMVAIUNK,32874,AB766776D,
,ZRWRWULKEZ,32874,AB787050D,
,DTTFASLEKL,32874,AB938705D,
,TPHTLJERFU,32874,AB854611D,
,JPYLLQPLGN,32874,AB834107D,
,JLFNGTSEMY,32874,AB603905D,
,WVFUACQVID,32874,AB113914D,
,FBQPOAPASQ,32874,AB234315D,
,OQEEPVLBEX,32874,AB938219D,
,NHBCHHEIHL,32874,AB872660D,
,GWBZPAEFMR,32874,AB496236D,
,PFOGZMAXFX,32874,AB194947D,
,MLFNIWPOZA,32874,AB488312D,
,SURTFVEETM,32874,AB439119D,
,VRBXETZLTD,32874,AB992718D,
,GIXVTSHBRY,32874,AB140039D,
,ZTWJKPYTGN,32874,AB833500D,
,YNCBWYXMBM,32874,AB190735D,
,DJXNWXCAPN,32874,AB850644D,
,CPFRFHYTIT,32874,AB944947D,
,YQTGICUAEM,32874,AB152785D,
,IDTMEXKTUM,32874,AB143194D,
,KRNHIRBEMC,32874,AB995980D,
,VTUNWDCWKV,32874,AB432118D,
,KPMIWCLUIK,32874,AB847419D,
,ECNMRJAIFZ,32874,AB289899D,
,SZDMEKJYHP,32874,AB522159D,
,JZGAODUYYZ,32874,AB728074D,
,UKPAMOHXVQ,32874,AB377599D,
,CDFSLJMCMR,32874,AB522156D,
,TNPXUGMHHL,32874,AB128729D,
,NVVHVOLQIC,32874,AB817196D,
,ARKUKEINHW,32874,AB266052D,
,CSCPQXJUUE,32874,AB928898D,
,UJEILDKFIB,32874,AB868055D,
,PKZTAMWGTH,32874,AB839020D,
,PFDCTLBDSY,32874,AB156351D,
,LUOZWYEMPZ,32874,AB422142D,
,OPUQINOMWI,32874,AB857358D,
,VNMMVPTXWP,32874,AB700928D,
,XGGCKHEIWF,32874,AB721854D,
,VSZFZIBBOI,32874,AB400218D,
,SOKLQNPLHV,32874,AB705150D,
,RRCAIPIWZX,32874,AB138114D,
,EWQUKGIYOT,32874,AB248601D,
,SUEQFFLJNB,32874,AB776261D,
,TGHYZZBSEA,32874,AB330121D,
,NTYULTOIDE,32874,AB284430D,
,GGWTBFNNEZ,32874,AB183165D,
,IQOAGGTNOV,32874,AB165865D,
,NYNHXMTYFC,32874,AB390983D,
,LFLKMNKBZE,32874,AB683695D,
,AAHEUOZVRW,32874,AB587781D,
,WMERGDTJSR,32874,AB545728D,
,VMQZGOYXSW,32874,AB416237D,
,DHRNLISCOC,32874,AB937561D,
,YHFTUMJXHW,32874,AB795878D,
,BTGWOUHMIV,32874,AB692029D,
,APFUTCOBWP,32874,AB128782D,
,XEISVXCRLI,32874,AB499009D,
,ZHFMDAMRMC,32874,AB713000D,
,CBJQXHKHLQ,32874,AB153386D,
,ECQZELYIUW,32874,AB374398D,
,IOJITNULQM,32874,AB296647D,
,HODCIQUHWP,32874,AB925928D,
,SLSZVOFTDF,32874,AB848149D,
,OGTKBEQNVR,32874,AB648905D,
,KFYMRZTCHT,32874,AB340109D,
,MRKJPVQTHQ,32874,AB210285D,
,SGXJWKRFEC,32874,AB716966D,
,OHKYWKDVTY,32874,AB239546D,
,RQAYUFVZPP,32874,AB493799D,
,LRATXUPRVR,32874,AB397773D,
,BOUZFSXDRD,32874,AB150667D,
,TMSBPEOEER,32874,AB947050D,
,MWLDPEHADV,32874,AB768990D,
,CTKJNDBHUK,32874,AB809988D,
,SBMMWAMZAX,32874,AB515855D,
,RIGZZORYDH,32874,AB400303D,
,XNXHUPZNZA,32874,AB445742D,
,USOUGKCDCC,32874,AB827348D,
,BHNUXUJMPF,32874,AB417172D,
,PGBNKKORXE,32874,AB952586D,
,TVHXDATPVE,32874,AB194931D,
,ZUWYLCMDWG,32874,AB232164D,
,WEKOGVSUGX,32874,AB440989D,
,GQPGTMBQQO,32874,AB352011D,
,NFILBVXXHU,32874,AB809408D,
,MVUSJRATRF,32874,AB719048D,
,UWEHYUPACB,32874,AB657327D,
,QFUQFYJYGW,32874,AB978111D,
,DFSZRHIAPW,32874,AB335285D,
,IVJGUETWCI,32874,AB186210D,
,JEMPORMKQR,32874,AB680303D,
,YRTRKCCBXZ,32874,AB101612D,
,USXNFSXATX,32874,AB978685D,
,JERQDGOCNF,32874,AB254974D,
,MFOCJFSOPY,32874,AB218037D,
,OTRQLCRFIS,32874,AB460056D,
,IHIGDOSTRG,32874,AB663088D,
,NCOHNHPAPN,32874,AB799189D,
,FOLBWYTTWK,32874,AB267730D,
,RXSDMTKAXH,32874,AB625701D,
,MCIZUZHFAW,32874,AB983680D,
,FMREZEFDDG,32874,AB724938D,
,AUWYZUXQNG,32874,AB321570D,
,LEZRNDGMUB,32874,AB638025D,
,FQKJJIWUSP,32874,AB397127D,
,JPIJSBJNCB,32874,AB527118D,
,LATMLABTON,32874,AB557975D,
,VXWJQRWIWI,32874,AB276077D,
,NPCMSKSPMB,32874,AB578728D,
,QMFWDRUEFU,32874,AB747799D,
,GHZLKJGLYX,32874,AB465023D,
,FRFCFVVXBB,32874,AB458822D,
,GIRAEFFVHX,32874,AB343274D,
,ZZUPZRXZRE,32874,AB926820D,
,PQYGKLZMLB,32874,AB450003D,
,ZLZZQUKKBY,32874,AB831025D,
,MYNXMSEKUQ,32874,AB171661D,
,UWPQRFNHUA,32874,AB150005D,
,ZBMVMFKXRE,32874,AB997711D,
,NZMKGFPLJN,32874,AB483863D,
,YUYAIPTKPN,32874,AB188282D,
,BBNDHHCEMB,32874,AB774062D,
,FNGTCVJHDW,32874,AB745565D,
,YHPCKCWAUS,32874,AB979657D,
,KYORJBJZDR,32874,AB267336D,
,WGTHMAYIHR,32874,AB343393D,
,EKWLNAMUHK,32874,AB228662D,
,CNOJCVBRGY,32874,AB971089D,
,DICDSXESCI,32874,AB524545D,
,GTHAGFLENQ,32874,AB506549D,
,ERVTCUJOPY,32874,AB305810D,
,QYGSIMOKDP,32874,AB916975D,
,FNNIUWTCKF,32874,AB251048D,
,NJFOCWTZLV,32874,AB207053D,
,NXRHNVVLSW,32874,AB788606D,
,AKDULSPHGB,32874,AB664975D,
,DOWXSXOEZX,32874,AB279513D,
,HQAJGXJBWJ,32874,AB648738D,
,FRSCETFEFX,32874,AB489095D,
,FOROZILRLM,32874,AB772971D,
,ROXWBJTWOQ,32874,AB799079D,
,MJLWXNPBYM,32874,AB187034D,
,ZJRMBEVEIT,32874,AB605964D,
,VLKPNOIPUC,32874,AB189520D,
,IRMPXFPGZD,32874,AB529278D,
,CEQMPFOULB,32874,AB264792D,
,VVCLNOXDGJ,32874,AB586556D,
,VUIVJEIUBM,32874,AB681370D,
,ZMRKCUJQLF,32874,AB565043D,
,BRLDQSPMWE,32874,AB459988D,
,WJGLZWJPRS,32874,AB560087D,
,TOQWWQWTWT,32874,AB255905D,
,KYYIIKFNPA,32874,AB973167D,
,PQKMEJSLQK,32874,AB349808D,
,UPPXVVGUIH,32874,AB652078D,
,PMMPOFLDQY,32874,AB606955D,
,VXIGQEEYSS,32874,AB751723D,
,NTFXCTTPZS,32874,AB724374D,
,ONNXZXFVTV,32874,AB556879D,
,FGOQLVNGMX,32874,AB911336D,
,GXESGLFAIT,32874,AB824954D,
,DGWEBCDHME,32874,AB350612D,
,YNFFNWTQRG,32874,AB528091D,
,TVVVZNVOIZ,32874,AB487681D,
,WLUWEJUAKZ,32874,AB751242D,
,PWMLZVSQLY,32874,AB628804D,
,YCVXCZFAUO,32874,AB836659D,
,NXUNEQWWXI,32874,AB490548D,
,NPBWSVQEJB,32874,AB167605D,
,LNIJQCPHYA,32874,AB262650D,
,JTOUCKHKVE,32874,AB940667D,
,BKNPNCRLTG,32874,AB345741D,
,KYHFJNJSEG,32874,AB715884D,
,AMQNKIWHKL,32874,AB578554D,
,BQFEVYAYBN,32874,AB352897D,
,UGNLBGTLNV,32874,AB836433D,
,IGBIRVXMTX,32874,AB237954D,
,ZZRTMWRDKW,32874,AB194395D,
,PHJBULTTCM,32874,AB457702D,
,UOJVUBPDPF,32874,AB442021D,
,VQSELUGAFN,32874,AB577010D,
,QIFXKKNIZM,32874,AB258699D,
,HNPPMJWGDV,32874,AB483322D,
,OSAKZJWGGW,32874,AB789651D,
,DDUMHAYAWD,32874,AB161132D,
,KHKZEKIWER,32874,AB810102D,
,IDZMJQSRRL,32874,AB471867D,
,VUOHKYYUDI,32874,AB338183D,
,ZJCMYCQEKM,32874,AB811161D,
,OPWHRNFKOM,32874,AB211304D,
,XPMKIDOZYU,32874,AB561034D,
,BEILBYASAU,32874,AB166222D,
,SYSYEOKLLS,32874,AB830555D,
,DFWYQQAGTQ,32874,AB493831D,
,VGCNUEHXDC,32874,AB587318D,
,RRWSEPGUTP,32874,AB726862D,
,ZHCLPRTZBU,32874,AB951269D,
,PZVJBRQCBH,32874,AB295356D,
,BURGLOYWCH,32874,AB229185D,
,NSPTFKNGQW,32874,AB348326D,
,FEDQRCPXMU,32874,AB724535D,
,MSGQIGIVJT,32874,AB472816D,
,OCRLORBXSP,32874,AB114876D,
,OAWITUHOXI,32874,AB927282D,
,LYPINLUINT,32874,AB773406D,
,BBDTOTVIMT,32874,AB225879D,
,EGCVBVEILI,32874,AB234826D,
,SQCXRBAOCY,32874,AB580970D,
,OJNXQUPQTB,32874,AB707443D,
,VZXRTJNHDE,32874,AB136274D,
,WHHAAIKGZL,32874,AB401834D,
,XTVAWFHMFJ,32874,AB421507D,
,CZXZVGXTVF,32874,AB392501D,
,OEUZXMKAIE,32874,AB729723D,
,VVDOWWBUSO,32874,AB660072D,
,XMPQVGPCQL,32874,AB718968D,
,PNYBTOPBCH,32874,AB230726D,
,LIONPILFCG,32874,AB401156D,
,TCCKWXYCMG,32874,AB717377D,
,XGHNAUJYVR,32874,AB595292D,
,WSSCVDMYLN,32874,AB993489D,
,KIFQXVZKIV,32874,AB924075D,
,ONNXIGPWYZ,32874,AB329608D,
,WYITJBLJKQ,32874,AB476829D,
,UEZXIUSEKL,32874,AB168696D,
,MILVRENAUW,32874,AB333848D,
,FHBZGURHYF,32874,AB350017D,
,BGRINXPPQD,32874,AB323351D,
,MKHYSNNHMF,32874,AB974847D,
,AEKVEOGKHO,32874,AB630711D,
,KDIQFDUPXG,32874,AB182253D,
,KJGVCEAJHI,32874,AB550243D,
,LILAECETNF,32874,AB833729D,
,XSZWCPELRM,32874,AB800418D,
,OGSEEYCRKA,32874,AB486483D,
,IDPNINKWZM,32874,AB211116D,
,NRDZVCNZNY,32874,AB761929D,
,VQVHUKAAOP,32874,AB440741D,
,QMRMAHGDZP,32874,AB719322D,
,VAPMNWGMLY,32874,AB526110D,
,DXNTSGPBQX,32874,AB698858D,
,RKRNYGSNIS,32874,AB521066D,
,XRJKVGEVAI,32874,AB574914D,
,XHJUGEQMCS,32874,AB154196D,
